,Name,price,product url,rating
10,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","1,199",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_9?keywords=bags&qid=1692722807&sr=8-9,4.0
11,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys &amp; Girls with 15.6 inch Padded Laptop Compartment &amp; Multiple Pockets,849,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_10?keywords=bags&qid=1692722807&sr=8-10,4.3
12,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port &amp; Organizer Pocket for Men Women Boys Girls",849,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTk2ODAzNTA4MjMxNTk4OjE2OTI3MjI4MDc6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1692722807%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,3.9
13,Fur Jaden Brown Textured Leatherette Stylish &amp; Spacious Weekender Duffle Bag for Travel,588,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTk2ODAzNTA4MjMxNTk4OjE2OTI3MjI4MDc6c3BfbXRmOjIwMDkzNzA3ODA4Nzk4OjowOjo&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BLVQ9NTD%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1692722807%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.3
14,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,387,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_25_trfobq2av2_0_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,4.3
15,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,"2,699",https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,5.0
16,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,699,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_2_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,3.8
17,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment &amp; Rain Cover,699,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_25_trfobq2av2_4_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,4.0
18,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",310,https://www.amazon.in/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_25_trfobq2av2_5_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,4.1
19,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",420,https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_25_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,4.3
20,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",329,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY/ref=sxin_25_trfobq2av2_7_B097NHH5YY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NHH5YY&pd_rd_r=c2ecfa9b-d7d7-47f5-b54e-e9972970075e&pd_rd_w=aVDNy&pd_rd_wg=045He&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=6MKPQD966PE468WKFDEN&qid=1692722807&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,4.2
uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men Women Boys and Girls 750 Days warranty,NA,4.0 out of 5 stars,540 ratings,In stock,
